"HUGO_GENE_SYMBOL","ENTREZ_GENE_ID"
"ABL1",25
"ACVR1B",91
"AKT1",207
"ALK",238
"AMER1",139285
"APC",324
"AR",367
"ARID1A",8289
"ARID1B",57492
"ARID2",196528
"ASXL1",171023
"ATM",472
"ATRX",546
"AXIN1",8312
"B2M",567
"BAP1",8314
"BCL2",596
"BCOR",54880
"BRAF",673
"BRCA1",672
"BRCA2",675
"CARD11",84433
"CASP8",841
"CBL",867
"CDC73",79577
"CDH1",999
"CDKN2A",1029
"CEBPA",1050
"CIC",23152
"CREBBP",1387
"CRLF2",64109
"CSF1R",1436
"CTNNB1",1499
"CYLD",1540
"DAXX",1616
"DNMT1",1786
"DNMT3A",1788
"EGFR",1956
"EP300",2033
"ERBB2",2064
"EZH2",2146
"FBXW7",55294
"FGFR2",2263
"FGFR3",2261
"FLT3",2322
"FOXL2",668
"FUBP1",8880
"GATA1",2623
"GATA2",2624
"GATA3",2625
"GNA11",2767
"GNAQ",2776
"GNAS",2778
"H3F3A",3020
"HIST1H3B",8358
"HNF1A",6927
"HRAS",3265
"IDH1",3417
"IDH2",3418
"JAK1",3716
"JAK2",3717
"JAK3",3718
"KDM5C",8242
"KDM6A",7403
"KIT",3815
"KLF4",9314
"KMT2C",58508
"KMT2D",8085
"KRAS",3845
"MAP2K1",5604
"MAP3K1",4214
"MED12",9968
"MEN1",4221
"MET",4233
"MLH1",4292
"MPL",4352
"MSH2",4436
"MSH6",2956
"MYD88",4615
"NCOR1",9611
"NF1",4763
"NF2",4771
"NFE2L2",4780
"NOTCH1",4851
"NOTCH2",4853
"NPM1",4869
"NRAS",4893
"PAX5",5079
"PBRM1",55193
"PDGFRA",5156
"PHF6",84295
"PIK3CA",5290
"PIK3R1",5295
"PPP2R1A",5518
"PRDM1",639
"PTCH1",5727
"PTEN",5728
"PTPN11",5781
"RB1",5925
"RET",5979
"RNF43",54894
"RUNX1",861
"SETBP1",26040
"SETD2",29072
"SF3B1",23451
"SMAD2",4087
"SMAD4",4089
"SMARCA4",6597
"SMARCB1",6598
"SMO",6608
"SOCS1",8651
"SOX9",6662
"SPOP",8405
"SRSF2",6427
"STAG2",10735
"STK11",6794
"TET2",54790
"TNFAIP3",7128
"TP53",7157
"TRAF7",84231
"TSC1",7248
"TSHR",7253
"U2AF1",7307
"VHL",7428
"WT1",7490